date,emotion
2025-05-30,angry
2025-05-30,angry
2025-05-30,daily
2025-05-30,sad
2025-05-30,otl
2025-06-01,sad
2025-06-01,sad
2025-05-02,daily
2025-06-03,happy
2025-06-04,happy
2025-06-05,angry
2025-06-05,happy
